mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_classifier__C	param_classifier__coef0	param_classifier__degree	param_classifier__gamma	param_classifier__kernel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.0962651252746582	0.004769908860836544	0.02362227439880371	0.004273884982434341	0.1	0	2	scale	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}	0.5607602956705386	0.5640380549682875	0.5406553911205074	0.6427817166993514	0.659181518436308	0.5934833953789986	0.04790656576843251	91
0.0730978012084961	0.0037007616763547408	0.018720006942749022	0.0009261418067004521	0.1	0	2	auto	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}	0.6069904963041183	0.5488372093023256	0.6909513742071881	0.6319850009697648	0.6486434066762925	0.6254814974919378	0.047077252232220916	60
0.050957250595092776	0.0011164435884233857	0.014821815490722656	0.0005616499575905752	0.1	0	2	0.01	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}	0.37290390707497356	0.4848625792811839	0.4365327695560254	0.6499364265241472	0.5691442363640281	0.5026759837600716	0.09760809460165557	105
0.07372431755065918	0.0024990504411493263	0.019057464599609376	0.0003022565168843852	0.1	0	2	0.1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}	0.6711087645195354	0.6146723044397464	0.6989640591966174	0.5861905480249122	0.6572850893261212	0.6456441531013866	0.04030125750638262	29
0.18385887145996094	0.05493143679826061	0.02652850151062012	0.0014868341818343566	0.1	0	2	1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}	0.678247096092925	0.5792177589852009	0.5895348837209302	0.7018727237463095	0.588496433420253	0.6274737791931237	0.051769430012491076	56
0.16224303245544433	0.020070863669779445	0.018632125854492188	0.0006660013863840666	0.1	0	3	scale	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}	0.5583315733896514	0.5922410147991544	0.6023255813953489	0.5997888067581837	0.727517617395427	0.6160409187475531	0.057924260778743186	76
0.08982906341552735	0.002259543189289266	0.019060611724853516	6.104875204533382e-05	0.1	0	3	auto	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}	0.5782893347412883	0.5857505285412263	0.6174841437632135	0.620089218369502	0.7292847445208285	0.6261795939872117	0.05416892441206511	57
0.050132226943969724	0.000500008029005694	0.01454753875732422	0.0004547659350634919	0.1	0	3	0.01	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}	0.7271172122492081	0.5505708245243129	0.7157293868921777	0.587828373165528	0.6201538693618946	0.6402799332386243	0.06991034525757922	32
0.1102682113647461	0.004176127844172816	0.019541454315185548	0.00044825339239199923	0.1	0	3	0.1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}	0.5771066525871172	0.5832135306553912	0.6191120507399578	0.5780229726526301	0.7489817468698144	0.6212873907009822	0.06570227851366855	66
0.6498280525207519	0.07262484028062503	0.018294477462768556	0.0007407266076895052	0.1	0	3	1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}	0.5561985216473073	0.5374841437632136	0.6062579281183933	0.6173738766890071	0.6888994246061677	0.6012427789648178	0.05303432895770527	86
0.13213376998901366	0.006307368776697366	0.018699026107788085	0.0003994416404731512	0.1	0	4	scale	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 4, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}	0.5255966209081309	0.5845031712473573	0.5821775898520085	0.5249445078981962	0.7055147296511001	0.5845473239113586	0.06582767184345299	96
0.08773608207702636	0.0033230339316387986	0.019326019287109374	0.0010736081686088777	0.1	0	4	auto	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}	0.5103695881731785	0.5634249471458774	0.5762790697674419	0.5245566019438398	0.6868521431803979	0.572296470042147	0.06217974102758178	101
0.04945693016052246	0.0003480986568211002	0.015540266036987304	0.000952929594611764	0.1	0	4	0.01	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}	0.6360084477296726	0.525877378435518	0.5954334038054967	0.6138180721074068	0.568691679417279	0.5879657962990746	0.03810161386921746	95
0.1095339298248291	0.003883805016055253	0.019393014907836913	0.0005407003993139657	0.1	0	4	0.1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}	0.5188384371700105	0.5841014799154334	0.570507399577167	0.5241686959894835	0.697304053617223	0.5789840132538635	0.06437372558007878	100
