mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_classifier__C	param_classifier__coef0	param_classifier__degree	param_classifier__gamma	param_classifier__kernel	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.09375939369201661	0.005430092200388903	0.0212191104888916	0.0007491311866471947	0.1	0	2	scale	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.06666054725646972	0.0014980328608197588	0.018016290664672852	0.0008951087559313414	0.1	0	2	auto	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.04909706115722656	0.0010527082547131768	0.014813566207885742	0.001166980934653062	0.1	0	2	0.01	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.07306671142578125	0.0036363426043498686	0.018416404724121094	0.0008006696241179264	0.1	0	2	0.1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.1797635555267334	0.05540925589308923	0.026023340225219727	0.0014157970267186157	0.1	0	2	1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 2, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.15914483070373536	0.020008526194381215	0.018416452407836913	0.0010205155788095028	0.1	0	3	scale	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.08627905845642089	0.002483833719955121	0.018616437911987305	0.0008013847198748317	0.1	0	3	auto	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.04864435195922852	0.0004904076582148149	0.014012718200683593	8.869683855885636e-07	0.1	0	3	0.01	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.10849847793579101	0.00403329989689126	0.01941714286804199	0.0013582448997086472	0.1	0	3	0.1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.6668052673339844	0.09399035650453237	0.018216466903686522	0.0004003770120126692	0.1	0	3	1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 3, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}	0.9498495486459378	0.9407630522088354	0.9437751004016064	0.9467871485943775	0.9477911646586346	0.9457932029018783	0.0031877538710751224	88
0.1331571102142334	0.00796409935790007	0.018216371536254883	0.0009808346083909846	0.1	0	4	scale	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 4, 'classifier__gamma': 'scale', 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9487951807228916	0.9508032128514057	0.9497991967871486	0.9498092671589065	0.0006353148451467538	71
0.08774886131286622	0.003186957959712726	0.01861729621887207	0.001020590451154445	0.1	0	4	auto	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.049645090103149415	0.0004901937612491778	0.013812589645385741	0.0004005671789174682	0.1	0	4	0.01	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
0.10809769630432128	0.004339134620554413	0.018416738510131835	0.0004908751390867326	0.1	0	4	0.1	poly	{'classifier__C': 0.1, 'classifier__coef0': 0, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}	0.9498495486459378	0.9497991967871486	0.9497991967871486	0.9508032128514057	0.9508032128514057	0.9502108735846091	0.00048399233391007443	1
